Code,Area,Year,,Year_adj,Sex,Pupils,Attainment8,Progress8
E09000030,Tower Hamlets,2015/16,2015,2015,All,2570,50.2,0.15
E09000030,Tower Hamlets,2015/16,2015,2015,Boys,1294,48.7,0.04
E09000030,Tower Hamlets,2015/16,2015,2015,Girls,1276,51.7,0.26
E09000031,Waltham Forest,2015/16,2015,2015,All,2539,50.4,0.23
E09000031,Waltham Forest,2015/16,2015,2015,Boys,1259,48,0.06
E09000031,Waltham Forest,2015/16,2015,2015,Girls,1280,52.8,0.39
E09000032,Wandsworth,2015/16,2015,2015,All,1660,52.1,0.15
E09000032,Wandsworth,2015/16,2015,2015,Boys,872,50.7,0.05
E09000032,Wandsworth,2015/16,2015,2015,Girls,788,53.6,0.25
E09000033,Westminster,2015/16,2015,2015,All,1566,54.5,0.32
E09000033,Westminster,2015/16,2015,2015,Boys,763,51,0.09
E09000033,Westminster,2015/16,2015,2015,Girls,803,57.8,0.53
E09000002,Barking and Dagenham,2016/17,2016,2016,All,2185,46.7,0.23
E09000002,Barking and Dagenham,2016/17,2016,2016,Boys,1146,43.5,0.01
E09000002,Barking and Dagenham,2016/17,2016,2016,Girls,1039,50.1,0.47
E09000003,Barnet,2016/17,2016,2016,All,3528,54.7,0.47
E09000003,Barnet,2016/17,2016,2016,Boys,1811,52.3,0.25
E09000003,Barnet,2016/17,2016,2016,Girls,1717,57.2,0.7
E09000004,Bexley,2016/17,2016,2016,All,3141,49,-0.05
E09000004,Bexley,2016/17,2016,2016,Boys,1558,46.5,-0.23
E09000004,Bexley,2016/17,2016,2016,Girls,1583,51.5,0.12
E09000005,Brent,2016/17,2016,2016,All,2908,49,0.49
E09000005,Brent,2016/17,2016,2016,Boys,1444,46.8,0.32
E09000005,Brent,2016/17,2016,2016,Girls,1464,51.1,0.66
E09000006,Bromley,2016/17,2016,2016,All,3258,49.8,0.12
E09000006,Bromley,2016/17,2016,2016,Boys,1568,46.9,-0.12
E09000006,Bromley,2016/17,2016,2016,Girls,1690,52.5,0.34
E09000007,Camden,2016/17,2016,2016,All,1513,48.3,0.05
E09000007,Camden,2016/17,2016,2016,Boys,635,44.3,-0.24
E09000007,Camden,2016/17,2016,2016,Girls,878,51.2,0.26
E09000001,City of London,2016/17,2016,2016,All,.,.,.
E09000001,City of London,2016/17,2016,2016,Boys,.,.,.
E09000001,City of London,2016/17,2016,2016,Girls,.,.,.
E09000008,Croydon,2016/17,2016,2016,All,3579,45,0.06
E09000008,Croydon,2016/17,2016,2016,Boys,1716,41.3,-0.19
E09000008,Croydon,2016/17,2016,2016,Girls,1863,48.5,0.28
E09000009,Ealing,2016/17,2016,2016,All,2722,48.7,0.42
E09000009,Ealing,2016/17,2016,2016,Boys,1393,46.1,0.23
E09000009,Ealing,2016/17,2016,2016,Girls,1329,51.5,0.61
E09000010,Enfield,2016/17,2016,2016,All,3487,46.2,0.07
E09000010,Enfield,2016/17,2016,2016,Boys,1864,44.1,-0.14
E09000010,Enfield,2016/17,2016,2016,Girls,1623,48.6,0.31
E09000011,Greenwich,2016/17,2016,2016,All,2166,45.9,-0.05
E09000011,Greenwich,2016/17,2016,2016,Boys,1135,43.3,-0.26
E09000011,Greenwich,2016/17,2016,2016,Girls,1031,48.8,0.19
E09000012,Hackney,2016/17,2016,2016,All,2002,49.4,0.38
E09000012,Hackney,2016/17,2016,2016,Boys,917,46.2,0.17
E09000012,Hackney,2016/17,2016,2016,Girls,1085,52.1,0.56
E09000013,Hammersmith and Fulham,2016/17,2016,2016,All,1313,50.9,0.17
E09000013,Hammersmith and Fulham,2016/17,2016,2016,Boys,675,47.2,-0.03
E09000013,Hammersmith and Fulham,2016/17,2016,2016,Girls,638,54.8,0.39
E09000014,Haringey,2016/17,2016,2016,All,2127,46.5,0.29
E09000014,Haringey,2016/17,2016,2016,Boys,1110,44.6,0.12
E09000014,Haringey,2016/17,2016,2016,Girls,1017,48.6,0.48
E09000015,Harrow,2016/17,2016,2016,All,2049,49.7,0.47
E09000015,Harrow,2016/17,2016,2016,Boys,1029,46.8,0.22
E09000015,Harrow,2016/17,2016,2016,Girls,1020,52.6,0.72
E09000016,Havering,2016/17,2016,2016,All,2794,47.5,-0.04
E09000016,Havering,2016/17,2016,2016,Boys,1435,45.6,-0.16
E09000016,Havering,2016/17,2016,2016,Girls,1359,49.5,0.09
E09000017,Hillingdon,2016/17,2016,2016,All,3075,47.1,0.14
E09000017,Hillingdon,2016/17,2016,2016,Boys,1631,44.2,-0.09
E09000017,Hillingdon,2016/17,2016,2016,Girls,1444,50.4,0.4
E09000018,Hounslow,2016/17,2016,2016,All,2641,48,0.41
E09000018,Hounslow,2016/17,2016,2016,Boys,1392,45.6,0.25
E09000018,Hounslow,2016/17,2016,2016,Girls,1249,50.7,0.57
E09000019,Islington,2016/17,2016,2016,All,1377,45.6,0.13
E09000019,Islington,2016/17,2016,2016,Boys,715,43.8,-0.07
